code,name
JPD,J-Plug Assembly / Wiring Harness - Hi Voltage - Controller #
JPE,J-Plug Assembly / Wiring Harness - Key Pad To Display  #
JRB,Compressor Terminal Box - Back w/o conn #
JRR,Run Control Relay
JSH,"Switch, High Operating Temp. Cutout"
JSL,"Switch, Low Oil"
JSO,"Switch, On/Off"
JSP,"Switch, Preheat Start"
JSS,"Switch, Starter Motor"
JST,"Switch, High Water Temp. Cutout"
JWA,Alternate Water Pump
JWF,Anti-freeze (Coolant)
JWK,Water Temperature Gauge
JWP,Water Pump
JWS,Water Separator
JWW,Water
JXA,Exciter Assembly
JXB,Exciter Box  #
JXC,Exciter Cover
JXE,Exciter Rectifier Diode
JXM,Exciter Voltmeter
JXP,"Exciter Rectifier,3-Phase"
JXR,Exciter Resistor
JXS,Exciter Socket/Contact
JXX,Genset Complete
KAA,Glad Hand Seal
KAB,Air Suspension Bladder
KAC,Gladhand
KAD,Slack Adjuster
KAF,Air Bag - Firestone #
KAH ,Landing leg sand shoe/axle housing assembly 
KAJ,Slack Adjuster (Self Adjust) #
KAL,Plate Air Lift #
KAN,Axle Nut (Wheel Axle)
KAP,Anchor Pin
KAQ,Gladhand nipple
KAR,Air Ride Suspension/without Bladder
KAS,Axle Spindle
KAV,Brake ABS valve
KAW,Axle Lock Washer
KAX,Axle Assembly
KBA,Service Braking System
KBB ,Front or back bolsters 
KBC,Brake
KBD,Brake Drum
KBE,Brake Line Emergency
KBF,Bumper Filler Plate
KBG,Bicycle Guard
KBH,Brake Hoses
KBI ,BIT Inspection 
KBK,Brake Assembly
KBL,Brake Lining
KBM,Brake Chamber Mounting Bracket
KBO,Bolster
KBP,"Bumper, Chassis"
KBQ,Bumper Crosspiece
KBR,Wheel Bearing Cup #
KBS,Brake Spider
KBU,Bumper Uprights
KBW,Bud Wheel
KBX,Nose Box
KBZ,Grease Or Zirc Fitting
KCA ,Tattle cap 
KCB,Circuit Breaker
KCF,Cushion Foot/Pad
KCG,Horn
KCH,S-Cam Bushing
KCL,Certification Label
KCP,Brake Clevis Pin
KCR,S Cam Snap Ring
KCS,Brake S-Cam Shaft
KCT,Cross Tube Suspension (For KGD) #
KCU,Wheel Bearing Cup
KCV,Brake Clevis
KDB,Frame Diagonal Bracing #
KDC,"Dummy Coupler, Chassis"
KDF,Condenser Door / Grill Screw or Fixing
KDG,Diagonal Bracing Gussets #
KDH,Document Holder Chassis
KDM,Dust Cover
KDP,Dock Bumper
KDR,Condenser Door / Grill Screw Receptacle
KDS,Dust Shield
KDV,Drain
KDW,Condenser Door / Grill Screw or Fixing - Washer #
KEA,Emergency Assembly
KEB,Electrical Connector Boot
KEC,Seven Pin Plug
KEH,Equalizer Hanger (Widespread) #
KEI,RR Sill Elect Instl-Tank #
KEP,Seven way plug mounting plate
KEQ,Equalizer Beam
KEV,Relay Emergency Airvalve
KEW,Equalizer Beam (Widespread) #
KEX,Extending Assembly
KEZ ,Receptacle cover 
KFA ,Main frame structural assembly 
KFB,Fender Bracket (Reinke) #
KFD,Mudguard
KFE,Fender Strap (Reinke) #
KFF,Fender 24 Plastic (Reinke) #
KFG,Fender 24 Plastic (Reinke) #
KFH,Front Spring Hanger
KFL,Tire Flap
KFP,Frame Extension Pin Lock
KFS,Frame Extension Rollers/slide Pads
KFW,FHWA Plate/Decal
KFX ,Main frame mounted stop block 
KFY ,Main frame slider lock bracket 
KGC ,"Clearance light, grommet type "
KGD,Rear Beam Guide (Tank) #
KGG,Gladhand Grommet /Seal
KGG ,Gooseneck doubler plate or gusset 
KGH,Hub Cap-Grease
KGM,Grommet
KGN,Gooseneck
KGP ,Main frame mounted guide plate 
KGR,Gear Box
KGS,Grease Seal (Wheel Bearing)
KGT ,"Stop/tail/turning light assembly, grommet type "
KGU,Bolster Gusset Support/Bracing
KGX ,Gooseneck cross member 
KHA,Landing Gear Axle Housing
KHB,Spring Hanger Stabilizer Pipe
KHC,Hub Cap
KHG,Hub Cap GasketRing #
KHI,Pintle Hook (Hitch)
KHP ,Pintle hook support plate 
KHR,Land Leg Crank Handle Return
KHS,Air Hose Support Spring
KHU,Hub Odometer
KHX ,Pintle hook assembly 
KHY ,Pintle hook catch 
KIA ,Index pin assembly 
KIC,Identification Lights
KIH ,Index pin handle 
KIR ,Index pin retainer 
KIS ,Index pin spring 
KIX ,Interim frame cross members 
KKA,Kingpin Assembly
KKB ,Landing leg cross brace 
KKF,Kingpin Reinforce Frame
KKP,Kingpin
KKS,Landing Gear Crank Shaft
KKT,Kingpin Plate
KLA,Landing Gear Assembly
KLB,Landing Gear Brace
KLC,License Plate
KLD,Landing Gear Shaft Bushing
KLE,Land-leg Shoe/wheel Axle
KLF ,"Landing gear mount, outrigger "
KLG,License Light
KLH,Landing Gear Handle
KLI,"Landing Leg, Inner"
KLJ,Landing Gear Internal Gears
KLL,Landing Leg Assembly
KLM,Landing Gear Mounting Bracket
KLN,Landing Leg Shoe
KLO,"Landing Leg, Outer"
KLP,License Plate Light Assembly
KLQ,"Landing Leg, Dust Cap"
KLR,Landing Gear Roll Pin
KLS,Lens
KLT,Clearance Lights
KLU,Lug Nuts
KLW,Landing Leg Wheel
KLX,Overheat Protection Switch (Klixon)
KLY,Landing Gear Cross Shaft
KLZ,Landing Gear Brace Ear
KMA ,Mud flap assembly including bracket 
KMB,Mud Flap Mounting Bracket
KMC,Electrical Connection Cover on Motor
KMF,Splash Guard
KMI,Other Condensor Devices Not Listed
KMK,Electrical Connection Cover on Motor - Condenser #
KMP,Chassis Misc Hardware
